Id,Label
1.48E+17,shortindy
7.62E+18,mybluedays.glodal
7.00E+18,where_do_you_stand
6.66E+18,sufficentgrace
7.11E+18,ayudhip
7.13E+18,jennasahm2002
7.07E+18,brahsinchrist
6.95E+18,change4christ
6.84E+18,diegogomez.06
7.59E+18,peezyb0rnagain
6.91E+18,beutfuldisaster
7.26E+18,zdekorasi
7.42E+18,paknjangnan_bangauputih
6.91E+18,sincerelybyaliaa
7.30E+18,mhanafiah80
7.26E+18,sofijejak.alam
6.87E+18,orgkapongnegoon9
6.88E+18,hafiedzbenzaen
6.98E+18,shadow_morning07
7.25E+18,ur_changlun
6.65E+18,yenyenoyen
7.17E+18,apitiskandar_chay
6.79E+18,aliahsiddiqahh
7.50E+18,kakangfanpagee7
6.78E+18,paktam1477
7.15E+18,naw.gaw.21
7.26E+18,fatkul919
7.57E+18,kedah.realtor
6.76E+18,thevampiresveil
7.49E+18,lazomisong
7.55E+18,creative.journey4
7.14E+18,lilsolo305
7.19E+18,zehraece05
7.33E+18,zalinykursuschanglun
7.65E+18,keli.corner
7.15E+18,asmarizaanas
7.57E+18,rezkiramli2
7.00E+18,detspizzeria
7.46E+18,waterlofus
7.61E+18,karuttt1
7.05E+18,alex_suselo
6.78E+18,mrfoodhunter
7.23E+18,vin.ai93
6.65E+18,galoehbanjaran786
6.63E+18,khairulaming
6.79E+18,devyanastasia
1.04E+17,nurulahmad_31
6.65E+18,maktehpultayam
6.53E+18,yonella85
6.78E+18,gembulfoodieee
7.45E+18,cipamakanmakan
7.05E+18,liyamenul
7.04E+18,azis.2004
7.18E+18,amirnazmi05
7.62E+18,khanomtokyo.id
6.71E+18,masmaryono59
7.55E+18,yana.prity
6.80E+18,dapurmummyadam
6.78E+18,musimestastykitchen
7.53E+18,cophuonghangfan
7.12E+18,kxthyvrz
7.48E+18,tsheten.dukpa.recipe
7.38E+18,ruru4ever1
6.88E+18,dapurmbaklies
6.78E+18,martinpraja
7.15E+18,nikahdithailandofficial
7.35E+18,al.nair.guzman
6.90E+18,sumaiyaakteronti
7.63E+18,linha0624
6.65E+18,pqaahhhh
7.04E+18,pakngahmie.changlun
6.98E+18,officialbangdin57
6.99E+18,msrcharter
7.28E+18,abg.sha
6.97E+18,hanif_daud3
6.94E+18,stevakkj
7.13E+18,propertywsya
6.81E+18,flee3_
6.79E+18,aa9roo
7.29E+18,rilly.sianturi7
6.95E+18,chibeerols
7.41E+18,alang_tyaz
6.62E+18,malina_lina_pg
6.97E+18,jajanditiktok_com
6.93E+18,jjnwhyh
6.93E+18,hanniz733
7.55E+18,chill_incondet
6.69E+18,lelystaste
6.78E+18,caitlee1
7.59E+18,jooeun.callinote
7.34E+18,lia_crochet2
7.09E+18,lisajaecoo77
6.81E+18,orientalkedahrealty
6.56E+18,puanpasya78
7.65E+18,joshua.omoda.jaec
6.76E+18,syedperoduautara89_
6.82E+18,protoncikdin
6.85E+18,ngonnhatnghy
6.88E+18,stringartluuz
7.62E+18,hngthu72
7.19E+18,n.tphat04
6.89E+18,v_loveyouuu
7.38E+18,hannie.zhaooo
7.56E+18,idollo23
6.98E+18,makanbalikpapan
7.50E+18,mandarinchicken1
6.93E+18,ecclesiasihotangg
6.94E+18,shelvysilviaaa
7.32E+18,mammanasworld
7.19E+18,chesayang_kitchen
7.37E+18,wahyu_ayam
6.74E+18,seblak.wartong
6.80E+18,adikfoods
7.62E+18,facecraftai2
72332155659,ayuwisya666
6.61E+18,nenty_garut_karawang
6.89E+18,_thecookwife_
7.57E+18,dimasakinselin
7.34E+18,zuhrimustamir
7.57E+18,cookingwithleh
6.55E+18,mardatillahika
6.74E+18,firhan_ashari
6.98E+18,madwileh
6.79E+18,kreasi.tanoto
7.51E+18,billa.kubil
7.06E+18,odaycosaobymznews
16497333,manhoangcao
6.71E+18,iamartoftomorrow
7.29E+18,siti_aai_shah
6.62E+18,hamdanmubarak_
7.30E+18,pawonn.mburi
6.90E+18,dapurnattie
6.89E+18,nikadewanti25
6.65E+18,sabinaaat
7.36E+18,ola238974
7.51E+18,jankjankwings_makassar
8.22E+16,meliozkan
7.65E+18,qurmanlar_ailesi
6.51E+18,thonsalee
7.58E+18,p080489
7.34E+18,_muslim_arabic
7.00E+18,yourdramacai
7.58E+18,chilll.art
7.14E+18,toricute_art
6.81E+18,mint_r13
6.79E+18,devina.hermawan
7.16E+18,rizki.mrs
6.79E+18,nadiaaspintari
6.52E+18,uliyana_siska
7.12E+18,brainrotdiy
11273857,capikkkkkk
6.83E+18,tanhacooks
6.91E+18,fatihahanapi
6.88E+18,barranaj
6.78E+18,aprilragilss
7.13E+18,abang_karan
7.53E+18,cmart.lao.cai
7.27E+18,langthangcatba03
7.48E+18,dienmayhongbac
7.15E+18,3dpaneliukr
6.57E+18,chandraa.07
7.63E+18,donguzz3
7.07E+18,cariong
7.40E+18,hannie0056
6.52E+18,sallyhang76
7.52E+18,sppg.cikalong.1
6.99E+18,mohd.zaidi.ab.rah6
6.97E+18,na.dinna
6.97E+18,gj.sweetandsavoury
6.95E+18,bukanhafidz
6.79E+18,rucenuenda1
7.57E+18,putrapandu218
7.01E+18,benucoffeeroaster
6.97E+18,fatmaalostad
7.00E+18,imehcomel09
7.31E+18,resepsatset_rudy
7.24E+18,nalarasa.co
7.09E+18,elizaperkasa2
7.59E+18,ktambang87
7.64E+18,warung.bunda398
7.12E+18,mak.ade1
7.04E+18,aysenurbudakkoldas
7.04E+18,dianasetiyow
6.93E+18,rakhmiagustin
6.72E+18,bgfernandosaragih
7.51E+18,loren.vlog8
6.91E+18,sapsukajajan
7.25E+18,chickencrunchyrollbaganb
6.82E+18,khashanthiselvarajah
6.86E+18,plumshumblekitchen
6.98E+18,liaslittlekitchen
7.53E+18,bag_yemekleri
7.53E+18,duarasa.timur.utara
7.55E+18,sppg.baloi.permai
7.35E+18,meddibel
7.54E+18,gepuk.top.legend
6.83E+18,farida.nurhan
6.84E+18,ocnrfdy
7.24E+18,shpigunov_igor
7.30E+18,sofyan.saputra35
6.97E+18,ekoyaki
6.95E+18,odeliadel_
6.51E+18,vaniafirdaus04
6.83E+18,likaamar
6.77E+18,ekaagustina179
7.04E+18,ummaibrahiim
7.11E+18,asmamo05
6.85E+18,riomakan
7.54E+18,brainrotskingdom
7.53E+18,r0908077
7.30E+18,ravethecrave
